ID,Kuh/Faerse,Gekalbt (ja/nein),Umstallzeit,Echte Geburtszeit,Geburtsverlauf,Event (ja/nein),Event Score,SonT,Eventzeit,SoffT,Moocall Score,Alarm (ja/nein),Alarmtyp (HA1/HA2),Alarmzeit,Zeit_bis_Umstallung,Sensorzeit,Studienzeit,Zeitintervall
3588,Kuh,ja,2017-11-10T12:30:00Z,2017-11-10T13:00:00Z,2,ja,5,2017-10-28T00:20:00Z,2017-10-28T00:21:00Z,,0,nein,,,99999,324.166666666667,324.166666666667,33333
3588,Kuh,ja,2017-11-10T12:30:00Z,2017-11-10T13:00:00Z,2,ja,5,2017-10-28T00:22:00Z,2017-10-28T01:14:00Z,,0,nein,,,99999,324.133333333333,324.166666666667,33333
3588,Kuh,ja,2017-11-10T12:30:00Z,2017-11-10T13:00:00Z,2,ja,5,2017-10-28T01:15:00Z,2017-10-28T02:08:00Z,,0,nein,,,99999,323.25,324.166666666667,33333
3588,Kuh,ja,2017-11-10T12:30:00Z,2017-11-10T13:00:00Z,2,ja,5,2017-10-28T02:09:00Z,2017-10-28T03:06:00Z,,0,nein,,,99999,322.35,324.166666666667,33333
3588,Kuh,ja,2017-11-10T12:30:00Z,2017-11-10T13:00:00Z,2,ja,5,2017-10-28T03:07:00Z,2017-10-28T06:11:00Z,,0,nein,,,99999,321.383333333333,324.166666666667,33333
3588,Kuh,ja,2017-11-10T12:30:00Z,2017-11-10T13:00:00Z,2,ja,5,2017-10-28T06:12:00Z,2017-10-28T07:16:00Z,,0,nein,,,99999,318.3,324.166666666667,33333
3588,Kuh,ja,2017-11-10T12:30:00Z,2017-11-10T13:00:00Z,2,ja,4,2017-10-28T07:17:00Z,2017-10-29T23:07:00Z,,2,nein,,,99999,317.216666666667,324.166666666667,33333
3588,Kuh,ja,2017-11-10T12:30:00Z,2017-11-10T13:00:00Z,2,ja,2,2017-11-02T16:22:00Z,2017-11-02T22:30:00Z,,0,nein,,,99999,188.133333333333,324.166666666667,33333
3588,Kuh,ja,2017-11-10T12:30:00Z,2017-11-10T13:00:00Z,2,ja,4,2017-11-03T12:08:00Z,2017-11-06T04:12:00Z,,3,nein,,,99999,168.366666666667,324.166666666667,33333
3588,Kuh,ja,2017-11-10T12:30:00Z,2017-11-10T13:00:00Z,2,ja,9,2017-11-06T04:13:00Z,2017-11-06T11:39:00Z,,0,nein,,,99999,104.283333333333,324.166666666667,33333
